TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,146 65%,37,22,59.5,10,4,1,183,71%,32,15,46.9,14,3,0
CGY,153 68%,35,17,48.6,15,3,0,163,67%,32,17,53.1,12,3,0
EDM,212 69%,27,16,59.3,7,4,0,131,69%,44,23,52.3,17,2,2
HAM,232 68%,39,22,56.4,14,3,0,194,71%,49,27,55.1,14,7,1
MTL,194 71%,35,16,45.7,12,7,0,147,60%,39,22,56.4,14,3,0
OTT,224 71%,37,17,45.9,13,5,2,159,61%,45,26,57.8,16,3,0
SSK,188 75%,37,16,43.2,16,5,0,159,61%,36,22,61.1,11,3,0
TOR,154 71%,44,30,68.2,11,3,0,243,79%,31,19,61.3,7,4,1
WPG,142 61%,50,31,62.0,16,2,1,266,76%,33,16,48.5,9,8,0
CFL,"1,645 69%",341,187,54.8,114,36,4,"1,645",69%,341,187,54.8,114,36,4
