Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,YAC,YAC,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,YAC
BC,11,11,71,17,68,1.00,239,40.4,"1,257",9.7,"3,993",39,21,473,413,266,64.4,"3,113",84.9,2.7,7.5,40.4,"1,257"
CGY,10,20,76,16,59,2.00,233,42.6,"1,292",10.0,"3,816",35,28,443,380,252,66.3,"3,034",97.2,2.6,8.0,42.6,"1,292"
EDM,10,19,70,22,90,1.90,258,33.6,"1,215",11.1,"4,432",32,17,447,398,273,68.6,"3,611",102.5,2.5,9.1,33.6,"1,215"
HAM,15,18,59,27,74,1.20,278,39.3,"1,420",11.3,"4,169",30,32,431,369,245,66.4,"3,611",97.5,4.1,9.8,39.3,"1,420"
MTL,16,14,68,18,92,0.88,243,33.8,"1,071",10.9,"4,374",21,23,447,403,255,63.3,"3,164",82.6,4.0,7.9,33.8,"1,071"
OTT,19,24,95,33,92,1.26,326,42.1,"1,781",11.2,"4,630",32,29,473,412,277,67.2,"4,235",101.1,4.6,10.3,42.1,"1,781"
SSK,13,21,102,26,62,1.62,250,39.7,"1,292",12.6,"4,464",27,35,415,353,224,63.5,"3,256",97.9,3.7,9.2,39.7,"1,292"
TOR,17,23,84,15,80,1.35,302,44.4,"1,609",9.5,"4,094",45,20,495,430,314,73.0,"3,620",99.4,4.0,8.4,44.4,"1,609"
WPG,13,9,80,17,74,0.69,224,33.1,"1,040",11.3,"4,809",40,37,503,426,259,60.8,"3,139",77.8,3.1,7.4,33.1,"1,040"
CFL,124,159,102,191,691,1.28,522,38.9,11977,10.8,"38,781",301,242,"4,127","3,584","2,365",66.0,"30,783",93.2,3.5,8.6,38.9,11977
