Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,68.6,62.9,36.3,281,137,48.8,51,35,70,44,160,58,"2,179",7.75
CGY,76.1,37.3,31.1,299,129,43.1,71,54,67,25,161,50,"2,190",7.32
EDM,64.3,57.1,34.7,277,130,46.9,56,36,77,44,144,50,"2,045",7.38
HAM,65.1,54.4,42.9,295,144,48.8,43,28,68,37,184,79,"2,320",7.86
MTL,70.6,49.3,37.3,280,130,46.4,51,36,71,35,158,59,"2,083",7.44
OTT,68.5,47.8,32.1,288,123,42.7,54,37,69,33,165,53,"2,055",7.14
SSK,59.3,41.7,35.6,291,120,41.2,54,32,60,25,177,63,"2,238",7.69
TOR,78.2,55.1,38.8,240,126,52.5,55,43,69,38,116,45,"1,764",7.35
WPG,83.3,60.9,37.4,300,163,54.3,66,55,87,53,147,55,"1,982",6.61
CFL,71.1,52.4,36.3,"2,551","1,202",47.1,501,356,638,334,"1,412",512,"18,856",7.39
