Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,103.4,19,115.9,235,194,82.6,"1,675",0,2,102,61,59.8,"1,008",10,5,68.6,114,48,42.1,"1,335",7
CGY,82.7,7,107.2,297,212,71.4,"1,769",5,3,81,42,51.9,655,5,4,69.7,61,24,39.3,899,4
EDM,86.3,10,146.7,231,167,72.3,"1,468",7,7,73,33,45.2,572,5,0,43.9,54,27,50.0,"1,034",5
HAM,91.2,6,59.6,261,201,77.0,"1,784",7,6,88,54,61.4,862,3,2,87.4,78,26,33.3,777,7
MTL,97.9,6,67.6,243,197,81.1,"1,807",4,3,81,43,53.1,778,1,3,93.5,61,23,37.7,819,8
OTT,92.4,2,4.6,245,183,74.7,"1,610",2,3,77,47,61.0,751,4,1,76.3,44,10,22.7,367,7
SSK,88.2,7,66.5,265,202,76.2,"1,536",5,5,96,67,69.8,"1,190",0,4,125.8,81,22,27.2,753,5
TOR,97.5,12,143.1,181,141,77.9,"1,306",3,4,69,41,59.4,790,2,4,106.6,67,33,49.3,"1,147",5
WPG,93.7,17,169.3,213,166,77.9,"1,464",9,10,92,55,59.8,935,2,7,110.6,94,46,48.9,"1,692",2
CFL,92.1,86,103.3,"2,171","1,663",76.6,"14,419",42,43,759,443,58.4,7541,32,30,87.7,654,259,39.6,"8,823",50
