Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,6,25,4,78.2,33,5,223,"1,016",4.6,136,639,4.7,66,308,26,238,"1,218",5.1,11
CGY,10,32,3,93.1,44,13,252,"1,210",4.8,171,830,4.9,52,212,14,280,"1,650",5.9,9
EDM,12,60,16,133.4,52,8,301,"1,868",6.2,192,"1,275",6.6,98,699,54,320,"1,845",5.8,14
HAM,10,41,6,93.2,46,11,240,"1,212",5.1,162,829,5.1,48,252,25,293,"1,604",5.5,18
MTL,10,28,7,97.7,46,10,249,"1,270",5.1,168,877,5.2,77,388,31,265,"1,505",5.7,16
OTT,17,53,10,131.3,25,6,317,"1,707",5.4,207,"1,069",5.2,123,723,55,251,"1,009",4.0,11
SSK,7,32,4,83.4,51,8,241,"1,084",4.5,143,706,4.9,56,258,21,304,"1,584",5.2,14
TOR,21,38,10,117.1,26,0,266,"1,405",5.3,185,940,5.1,45,210,13,218,876,4.0,4
WPG,15,53,10,132.1,39,9,323,"1,850",5.7,215,"1,279",5.9,47,165,8,243,"1,331",5.5,11
CFL,108,362,70,213.9,362,70,"2,412","12,622",5.23,"1,579","8,444",5.35,612,"3,215",247,"2,412",12622,5.2,108
