Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,278,74,179,25,246,83,140
CGY,239,83,138,18,260,109,132
EDM,251,101,127,23,295,111,155
HAM,245,80,150,15,285,105,158
MTL,245,76,146,23,252,88,141
OTT,255,110,123,22,256,66,175
SSK,243,76,154,13,250,99,136
TOR,245,89,138,18,246,69,157
WPG,310,115,167,28,221,74,128
CFL,2311,804,"1,322",185,"2,311",804,1322
