Team,FGM,T/O,Punt,Oth,TD%,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,3,29,75,10,17%,183,32,34,33,4,108,20,24,3,11,3,5,0,2,2,56,31%
CGY,5,21,90,5,13%,186,24,41,27,2,104,11,29,3,10,4,14,4,2,0,67,36%
EDM,3,31,93,9,16%,184,29,19,21,3,116,17,31,6,11,2,5,1,0,0,57,31%
HAM,5,30,76,8,14%,172,24,29,31,1,89,13,30,5,14,4,6,0,2,1,61,35%
MTL,7,28,72,10,13%,173,22,34,34,2,88,11,36,6,7,1,7,2,1,0,54,31%
OTT,6,28,81,15,12%,187,23,34,31,1,108,12,31,3,5,3,9,4,3,0,72,39%
SSK,6,28,90,8,12%,187,23,32,27,2,104,11,31,3,12,1,12,5,1,1,68,36%
TOR,2,15,72,8,25%,161,41,23,23,2,73,18,31,6,16,5,17,10,1,0,51,32%
WPG,3,27,71,13,25%,193,49,30,22,5,116,25,31,9,15,5,8,5,1,0,62,32%
CFL,40,237,720,86,,"1,626",267,276,249,22,906,138,274,44,101,28,83,31,13,4,548,34%
