TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,270 69%,52,31,59.6,15,5,1,253,70%,56,30,53.6,20,6,0
CGY,213 69%,47,24,51.1,18,5,0,221,67%,44,24,54.5,16,4,0
EDM,308 70%,36,24,66.7,7,5,0,187,74%,63,34,54.0,23,3,3
HAM,266 69%,57,31,54.4,22,4,0,281,70%,55,31,56.4,16,7,1
MTL,245 66%,47,23,48.9,16,8,0,208,63%,53,28,52.8,17,8,0
OTT,286 72%,50,23,46.0,17,8,2,213,61%,57,34,59.6,20,3,0
SSK,281 74%,47,24,51.1,16,7,0,215,65%,54,33,61.1,16,5,0
TOR,232 69%,63,40,63.5,18,4,1,335,76%,48,28,58.3,13,6,1
WPG,176 63%,71,42,59.2,23,5,1,364,73%,40,20,50.0,11,9,0
CFL,"2,277 69%",470,262,55.7,152,51,5,"2,277",69%,470,262,55.7,152,51,5
