Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,20,15,5,25,21,84%
CGY,27,24,3,26,18,69%
EDM,22,17,5,26,22,85%
HAM,23,20,3,26,22,85%
MTL,22,19,3,23,19,83%
OTT,27,22,5,20,16,80%
SSK,39,31,8,17,14,82%
TOR,11,6,5,29,26,90%
WPG,26,21,5,25,17,68%
CFL,217,175,42,217,175,81%
