Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,3,,3,3,3,9,81,911,11.2,68,64,"1,412",22.1,62,0,6,239,120,1,0,0,1,1
CGY,0,4,,2,7,1,7,81,936,11.6,54,69,"1,429",20.7,47,0,3,135,86,0,0,0,0,0
EDM,0,3,,5,T4,1,9,78,802,10.3,52,74,"1,618",21.9,98,1,4,80,30,0,0,1,0,1
HAM,0,4,,8,T1,5,17,71,715,10.1,54,72,"1,629",22.6,71,1,7,408,122,1,0,1,1,2
MTL,2,8,,4,T1,2,14,81,937,11.6,99,66,"1,491",22.6,79,0,5,221,125,1,2,0,1,3
OTT,1,8,,2,6,1,11,87,991,11.4,79,76,"1,611",21.2,93,1,4,98,69,0,1,1,0,2
SSK,3,4,,3,T4,1,8,90,985,10.9,107,79,"1,730",21.9,82,0,3,107,59,0,3,0,0,3
TOR,4,13,,1,9,0,14,92,"1,330",14.5,91,58,"1,060",18.3,41,0,4,34,23,0,4,0,0,4
WPG,1,3,,3,8,2,8,83,921,11.1,92,41,822,20.0,43,0,6,227,102,0,1,0,0,1
CFL,11,50,340,31,,16,97,744,"8,528",11.5,107,599,"12,802",21.4,98,3,42,"1,549",125,3,11,3,3,17
