Team,1st_downs_made_Tot,1st_downs_made_Rush,1st_downs_made_Pass,1st_downs_made_Pen,Opp_1st_downs_made_Tot,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass
BC,383,96,260,27,375,130,209
CGY,327,118,185,24,361,152,186
EDM,323,126,164,33,380,149,197
HAM,342,115,205,22,373,127,219
MTL,331,111,192,28,347,120,193
OTT,360,147,175,38,360,108,228
SSK,361,117,223,21,362,136,205
TOR,364,132,204,28,376,115,229
WPG,423,165,222,36,280,90,164
CFL,3214,"1,127","1,830",257,"3,214",1127,1830
