Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,21,3,24,1.33
CGY,13,6,19,1.06
EDM,11,7,18,1.00
HAM,20,4,24,1.33
MTL,22,8,30,1.67
OTT,11,4,15,0.83
SSK,7,6,13,0.72
TOR,11,2,13,0.72
WPG,13,0,13,0.72
CFL,129,40,169,2.09
