Team,,Diff,,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_Tot,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,+2,97.0,41,2.28,5,27,3,3,3,39,7,25,3,4,0
CGY,,-9,68.0,43,2.39,8,28,4,2,1,52,14,25,8,2,3
EDM,,+6,45.0,55,3.06,17,29,3,5,1,49,10,27,9,2,1
HAM,,0,81.0,50,2.78,6,27,4,8,5,50,15,28,3,3,1
MTL,,+12,70.0,54,3.00,11,29,8,4,2,42,12,22,3,1,4
OTT,,-22,87.0,41,2.28,15,15,8,2,1,63,9,42,8,1,3
SSK,,-18,,44,2.44,7,29,4,3,1,62,12,39,6,3,2
TOR,,+16,,63,3.50,14,35,13,1,0,47,2,28,6,10,1
WPG,,+13,,61,3.39,10,43,3,3,2,48,12,26,4,5,1
CFL,,0,,452,5.58,93,262,50,31,16,452,93,262,50,31,16
