Team,,Team,% Md,Rsh_att Pass_att,C2_Def,Rsh_att Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md
BC,,BC,0.0,0 0,0,1 3,45,44,97.8,1,4,0
CGY,,CGY,33.3,0 2,0,0 6,30,29,96.7,1,6,2
EDM,,EDM,25.0,1 0,0,2 2,37,35,94.6,2,4,1
HAM,,HAM,50.0,0 3,1,2 5,33,28,84.8,5,8,4
MTL,,MTL,33.3,0 2,0,0 6,37,35,94.6,2,6,2
OTT,,OTT,70.0,1 6,0,1 9,29,29,100.0,0,10,7
SSK,,SSK,42.9,0 3,0,0 7,30,28,93.3,2,7,3
TOR,,TOR,66.7,2 2,0,3 3,60,55,91.7,5,6,4
WPG,,WPG,33.3,0 1,0,0 3,62,57,91.9,5,3,1
CFL,,CFL,44.4,4 19,1,9 44,363,340,93.7,23,54,24
