Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.4,80,6,6,1,3,5,97,"4,497",72,753,10.5,91,36.1,"3,504",(61),-165,+101,"3,379",34.8
CGY,47.2,77,5,12,4,8,3,122,"5,761",96,"1,099",11.4,94,36.6,"4,462",(63),-190,+187,"4,396",36.0
EDM,45.4,85,9,5,0,9,9,121,"5,491",85,"1,067",12.6,68,33.6,"4,064",(108),-235,+140,"3,861",31.9
HAM,44.5,78,2,5,2,3,7,103,"4,586",82,860,10.5,99,35.4,"3,646",(18),-125,+90,"3,593",34.9
MTL,46.3,69,2,10,0,3,1,103,"4,773",82,787,9.6,48,37.9,"3,906",(9),-72,+49,"3,874",37.6
OTT,47.6,74,4,9,2,8,2,117,"5,568",91,"1,015",11.2,107,37.5,"4,393",(56),-180,+98,"4,255",36.4
SSK,47.9,90,6,9,2,6,6,117,"5,609",89,"1,174",13.2,92,35.9,"4,195",(45),-161,+55,"4,044",34.6
TOR,47.8,75,7,11,0,6,4,110,"5,260",88,995,11.3,52,36.2,"3,985",(101),-75,+68,"3,877",35.2
WPG,46.2,73,2,9,0,4,8,78,"3,602",59,778,13.2,48,35.2,"2,744",(2),-70,+70,"2,742",35.2
CFL,46.6,90,43,76,11,50,,968,"45,147",744,"8,528",11.5,107,36.1,"34,899",(463),-1273,+858,"34,021",35.1
