Team,T/O,Punt,Oth,TD%,Poss,TD,FG,FGM,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,Opp_2&O_2&O,Opp_2&O_%
BC,30,115,9,15%,246,38,45,9,31,6,129,13,53,8,19,5,9,4,5,2,74,30%
CGY,35,104,17,16%,246,40,46,4,38,4,141,21,40,7,16,4,7,2,4,2,76,31%
EDM,24,96,15,19%,237,46,48,8,41,1,122,23,46,12,14,4,13,5,1,1,75,32%
HAM,39,101,13,17%,245,42,41,9,30,2,125,25,53,7,17,0,18,7,2,1,72,29%
MTL,45,107,11,15%,245,37,39,6,38,3,146,17,35,6,13,4,12,5,1,0,85,35%
OTT,41,109,10,19%,254,47,41,6,38,4,132,25,51,10,18,4,13,4,2,0,74,29%
SSK,26,111,16,20%,256,51,47,5,33,6,145,29,43,6,15,4,16,4,4,2,80,31%
TOR,51,114,13,15%,256,38,34,6,43,2,161,23,28,6,15,5,9,2,0,0,87,34%
WPG,43,110,12,11%,239,27,40,7,31,3,133,16,47,2,13,2,13,2,2,2,98,41%
CFL,334,967,116,,"2,224",366,381,60,323,31,1234,192,396,64,140,32,110,35,21,10,721,32%
