Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,4,12,3,84,11,1,111,506,4.6,72,330,4.6,33,151,13,93,426,4.6,3
CGY,6,15,2,87,20,4,108,523,4.8,78,379,4.9,30,109,8,136,723,5.3,5
EDM,2,17,5,85,27,6,122,592,4.9,78,387,5.0,41,200,15,174,"1,014",5.8,7
HAM,5,17,2,82,16,6,100,492,4.9,70,359,5.1,21,113,7,131,694,5.3,10
MTL,3,10,1,81,13,3,90,403,4.5,63,292,4.6,28,137,12,92,489,5.3,3
OTT,6,20,6,129,9,1,128,774,6.0,91,495,5.4,42,360,20,113,398,3.5,5
SSK,2,17,3,92,16,1,113,550,4.9,61,303,5.0,24,155,9,125,539,4.3,6
TOR,12,18,4,130,10,0,127,648,5.1,89,456,5.1,27,119,5,84,324,3.9,2
WPG,6,18,2,112,22,6,161,783,4.9,107,548,5.1,23,59,4,112,664,5.9,5
CFL,46,144,28,195,144,28,"1,060","5,271",4.97,709,3549,5.01,269,1403,93,"1,060","5,271",4.97,46
