TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,49 58%,16,11,68.8,4,0,1,89,79%,12,5,41.7,5,2,0
CGY,73 65%,17,10,58.8,5,2,0,83,70%,16,8,50.0,6,2,0
EDM,109 65%,13,6,46.2,3,4,0,50,55%,24,12,50.0,8,2,2
HAM,125 74%,18,8,44.4,8,2,0,80,63%,24,15,62.5,6,2,1
MTL,60 66%,13,6,46.2,4,3,0,54,59%,13,6,46.2,6,1,0
OTT,82 73%,16,5,31.3,7,3,1,58,52%,16,9,56.3,7,0,0
SSK,79 71%,19,8,42.1,8,3,0,79,59%,16,10,62.5,3,3,0
TOR,75 77%,20,15,75.0,5,0,0,121,86%,14,9,64.3,4,1,0
WPG,84 63%,22,15,68.2,5,1,1,122,79%,19,10,52.6,4,5,0
CFL,736 68%,154,84,54.5,49,18,3,736,68%,154,84,54.5,49,18,3
