Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.6,64,2,2,1,1,T6,39,"1,819",28,303,10.8,91,36.8,"1,436",(17),-105,+61,"1,375",35.3
CGY,50.2,77,3,6,3,3,T4,43,"2,158",34,441,13.0,94,37.1,"1,597",(41),-45,+53,"1,564",36.4
EDM,46.8,85,5,2,0,3,9,54,"2,529",40,483,12.1,44,34.2,"1,846",(52),-90,+56,"1,760",32.6
HAM,45.4,78,1,2,1,1,3,39,"1,772",31,282,9.1,77,37.2,"1,450",(17),-35,+60,"1,458",37.4
MTL,48.9,67,0,2,0,0,1,33,"1,615",27,220,8.1,20,42.3,"1,395",(0),-17,+20,"1,398",42.4
OTT,47.5,64,1,1,0,1,2,38,"1,804",31,230,7.4,33,40.4,"1,534",(12),-60,+58,"1,520",40.0
SSK,48.4,90,1,3,1,1,T6,40,"1,934",33,421,12.8,92,36.8,"1,473",(20),-61,+20,"1,412",35.3
TOR,49.4,66,3,5,0,2,T4,32,"1,580",24,272,11.3,52,37.1,"1,188",(32),-45,+18,"1,129",35.3
WPG,47.2,73,2,4,0,0,8,39,"1,841",30,339,11.3,30,36.5,"1,422",(2),-40,+45,"1,425",36.5
CFL,47.8,90,18,27,6,12,,357,"17,052",278,"2,991",10.8,94,37.4,"13,341",(193),-498,+391,"13,041",36.5
