Team,,Team,C2_Rsh,C2_Pass,C2_Def,Rsh_att,Pass_att,C1_att,C1_md,C1_%,C1_miss,C2_att,C2_md,C2_%
BC,,BC,0,0,0,1,1,23,22,95.7,1,2,0,0.0
CGY,,CGY,0,1,0,0,5,12,11,91.7,1,5,1,20.0
EDM,,EDM,1,0,0,2,1,15,14,93.3,1,3,1,33.3
HAM,,HAM,0,2,0,1,4,11,7,63.6,4,5,2,40.0
MTL,,MTL,0,1,0,0,3,18,17,94.4,1,3,1,33.3
OTT,,OTT,1,4,0,1,4,14,14,100.0,0,5,5,100.0
SSK,,SSK,0,1,0,0,3,17,16,94.1,1,3,1,33.3
TOR,,TOR,1,1,0,1,2,29,27,93.1,2,3,2,66.7
WPG,,WPG,0,0,0,0,0,32,29,90.6,3,0,0,0
CFL,,CFL,3,10,0,6,23,171,157,91.8,14,29,13,44.8
