Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,6,26,86,22 (3),8,-4,7,13,6,8,22,52
CGY,4,21,55,19 (2),6,-2,4,13,7,6,19,38
EDM,8,27,59,26 (1),5,-10,5,14,4,8,17,18
HAM,7,27,67,26 (1),4,-8,6,14,7,8,19,58
MTL,3,19,46,18 (1),6,+5,8,8,5,13,24,49
OTT,8,25,42,23 (2),5,+5,6,11,9,16,30,86
SSK,9,25,55,24 (1),4,-5,7,9,5,11,20,32
TOR,4,11,27,10 (1),5,+12,1,6,4,14,23,88
WPG,5,20,55,19 (1),11,+7,9,6,6,10,27,71
CFL,54,201,492,187 (13),54,2023,53,94,53,94,201,492
