Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+_yds_TD,20+_yds_Effic
BC,223,157,70.4,1166,5,0,73.2,52,32,61.5,487,1,5,116.4,48,16,33.3,668,2,4,98.3
CGY,194,158,81.4,1279,1,3,100.4,60,30,50.0,488,4,3,66.5,49,15,30.6,577,1,8,122.6
EDM,146,111,76.0,894,3,5,93.8,73,47,64.4,858,2,1,97.9,55,29,52.7,892,3,8,139.4
HAM,138,105,76.1,1046,3,6,102.5,64,40,62.5,760,2,1,95.8,41,20,48.8,643,3,5,118.2
MTL,185,135,73.0,1083,5,0,76.0,40,19,47.5,298,4,0,31.0,55,21,38.2,675,4,6,91.1
OTT,188,146,77.7,1562,6,8,102.3,78,45,57.7,794,3,2,85.1,58,24,41.4,911,7,7,92.0
SSK,156,120,76.9,1116,2,2,94.9,65,37,56.9,627,3,3,85.9,61,21,34.4,711,6,7,76.6
TOR,180,151,83.9,1238,4,4,98.8,46,32,69.6,539,4,1,79.9,50,20,40.0,594,6,9,94.9
WPG,184,128,69.6,1006,5,3,76.9,69,36,52.2,554,3,1,65.7,57,20,35.1,736,3,4,86.6
CFL,"1,594","1,211",76.0,"10,390",34,31,90.1,547,318,58.1,5405,26,17,82.3,474,186,39.2,"6,407",35,58,101.1
