Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,46.8,80,5,3,1,1,6,64,"2,998",46,446,9.7,91,36.8,"2,352",(52),-130,+81,"2,251",35.2
CGY,48.8,77,3,9,3,4,3,68,"3,316",54,636,11.8,94,37.6,"2,560",(41),-70,+103,"2,552",37.5
EDM,46.0,85,5,2,0,3,9,74,"3,401",52,602,11.6,44,35.1,"2,599",(52),-160,+113,"2,500",33.8
HAM,45.3,78,1,5,1,1,4,56,"2,535",46,416,9.0,77,37.1,"2,079",(17),-55,+60,"2,067",36.9
MTL,48.0,67,0,2,0,1,1,49,"2,350",42,363,8.6,33,40.6,"1,987",(0),-17,+30,"2,000",40.8
OTT,48.2,74,2,7,1,4,2,68,"3,278",55,515,9.4,79,39.5,"2,683",(32),-100,+68,"2,619",38.5
SSK,47.2,90,1,6,2,4,7,72,"3,395",57,776,13.6,92,35.8,"2,579",(20),-116,+25,"2,468",34.3
TOR,48.3,66,3,6,0,2,5,51,"2,463",42,450,10.7,52,37.1,"1,893",(32),-45,+28,"1,844",36.2
WPG,46.4,73,2,7,0,2,8,56,"2,600",43,533,12.4,45,35.5,"1,987",(2),-65,+63,"1,983",35.4
CFL,47.2,90,22,47,8,22,,558,"26,336",437,"4,737",10.8,94,37.1,"20,719",(248),-758,+571,"20,284",36.4
