Team,Att,Md,Fail,Opp_Att,Opp_Md,Opp_%
BC,12,10,2,12,8,67%
CGY,15,13,2,14,10,71%
EDM,13,10,3,12,9,75%
HAM,10,8,2,13,12,92%
MTL,8,7,1,14,13,93%
OTT,16,14,2,11,7,64%
SSK,22,17,5,12,9,75%
TOR,8,3,5,15,14,93%
WPG,13,10,3,14,10,71%
CFL,117,92,25,117,92,79%
