Team,TD,10+,20+,yds_per_game,Opp_rush_10+,Opp_rush_20+,Att,Yards,Avg,1st_down_rush_Att,1st_down_rush_Yds,1st_down_rush_Avg,QB_rush_Att,QB_rush_Yds,QB_rush_Esc,Opp_rush_Atts,Opp_rush_Yards,Opp_rush_Avg,Opp_rush_TD
BC,4,18,3,86.8,22,2,176,781,4.4,114,523,4.6,47,203,17,164,776,4.7,6
CGY,7,23,3,91.9,28,6,194,919,4.7,132,638,4.8,45,182,11,206,"1,069",5.2,5
EDM,5,30,7,97.5,38,7,182,975,5.4,117,692,5.9,61,338,25,240,"1,431",6.0,9
HAM,7,24,3,82.6,30,8,144,743,5.2,99,512,5.2,30,165,14,211,"1,138",5.4,12
MTL,8,23,5,102.4,29,6,190,922,4.9,129,647,5.0,59,306,24,171,948,5.5,8
OTT,9,38,8,127.7,13,3,232,"1,277",5.5,157,822,5.2,90,594,44,187,694,3.7,8
SSK,5,25,3,87.2,29,3,195,872,4.5,109,544,5.0,45,226,17,216,950,4.4,9
TOR,13,25,6,115.8,18,0,182,926,5.1,122,619,5.1,36,159,8,157,640,4.1,3
WPG,9,31,4,119.2,30,7,224,"1,192",5.3,144,798,5.5,33,107,4,167,961,5.8,7
CFL,67,237,42,200.2,237,42,"1,719","8,607",5.01,"1,123","5,795",5.16,446,"2,280",164,"1,719","8,607",5.0,67
