Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,9,"3,614",401.6,1,560,6.45,176,14,"3,061",781,-228,31%,66%,3%,341,29
CGY,10,"3,189",318.9,7,551,5.79,194,5,"2,411",919,-141,35%,64%,1%,334,18
EDM,10,"3,056",305.6,8,483,6.33,182,4,"2,245",975,-164,38%,61%,1%,273,24
HAM,9,"2,930",325.6,6,476,6.16,144,5,"2,343",743,-156,30%,69%,1%,303,24
MTL,9,"3,024",336.0,5,487,6.21,190,11,"2,359",922,-257,39%,59%,2%,251,35
OTT,10,"3,018",301.8,9,571,5.29,232,15,"2,058","1,277",-317,41%,57%,3%,283,41
SSK,10,"3,441",344.1,4,575,5.98,195,5,"2,744",872,-175,34%,65%,1%,344,31
TOR,8,"2,953",369.1,3,395,7.48,182,4,"2,104",926,-77,46%,53%,1%,199,10
WPG,10,"3,854",385.4,2,555,6.94,224,20,"2,877","1,192",-215,40%,56%,4%,287,24
CFL,43,"29,079",676.3,,"4,653",6.25,"1,719",83,"22,202","8,607","-1,730",37%,61%,2%,"2,615",236
