Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,17,2,19,2.11
CGY,10,4,14,1.40
EDM,5,7,12,1.20
HAM,15,2,17,1.89
MTL,12,5,17,1.89
OTT,4,1,5,0.50
SSK,3,4,7,0.70
TOR,4,1,5,0.63
WPG,11,0,11,1.10
CFL,81,26,107,2.49
