Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,74.3,60.3,34.4,221,105,47.5,35,26,58,35,128,44,"1,769",8.00
CGY,75.9,32.1,32.0,229,97,42.4,54,41,53,17,122,39,"1,647",7.19
EDM,62.5,46.8,34.0,193,83,43.0,40,25,47,22,106,36,"1,464",7.59
HAM,65.4,54.3,36.1,194,86,44.3,26,17,46,25,122,44,"1,547",7.97
MTL,73.0,54.0,35.5,197,93,47.2,37,27,50,27,110,39,"1,450",7.36
OTT,68.3,49.1,29.2,228,94,41.2,41,28,57,28,130,38,"1,614",7.08
SSK,58.3,41.7,35.6,231,96,41.6,48,28,48,20,135,48,"1,736",7.52
TOR,79.5,53.7,39.7,158,84,53.2,39,31,41,22,78,31,"1,213",7.68
WPG,76.1,58.2,36.2,218,112,51.4,46,35,67,39,105,38,"1,451",6.66
CFL,70.5,50.3,34.5,"1,869",850,45.5,366,258,467,235,"1,036",357,"13,891",7.43
