Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC
BC,8,9,71,15,43,1.13,258,9.3,"2,992",27,13,363,323,205,63.5,"2,321",83.9,2.5,7.2,907
CGY,6,14,76,11,46,2.33,234,9.8,"2,966",32,14,349,303,203,67.0,"2,344",97.3,2.0,7.7,"1,009"
EDM,8,14,70,17,67,1.75,264,11.5,"3,153",26,10,310,274,187,68.2,"2,644",104.0,2.9,9.6,853
HAM,8,12,59,21,45,1.50,272,10.9,"2,655",25,25,293,243,165,67.9,"2,449",103.4,3.3,10.1,"1,018"
MTL,13,6,68,11,59,0.46,228,11.1,"3,108",18,17,315,280,175,62.5,"2,056",72.6,4.6,7.3,676
OTT,16,17,95,27,69,1.06,327,10.9,"3,540",26,14,364,324,215,66.4,"3,267",96.3,4.9,10.1,"1,445"
SSK,11,12,102,17,46,1.09,245,11.7,"3,302",24,24,330,282,178,63.1,"2,454",88.9,3.9,8.7,"1,037"
TOR,14,14,84,9,51,1.00,296,9.9,"2,723",29,15,320,276,203,73.6,"2,371",94.9,5.1,8.6,"1,003"
WPG,11,8,80,15,49,0.73,230,11.5,"3,579",29,27,366,310,184,59.4,"2,296",76.2,3.5,7.4,712
CFL,95,106,102,143,475,1.12,516,10.7,"28,018",236,159,"3,010","2,615","1,715",65.6,"22,202",90.5,3.6,8.5,"8,660"
