Team,GP,Yards,Per G,Plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,9,"2,875",319.4,515,5.58,164,1,"2,321",776,-222,32%,68%,0%,323,27
CGY,10,"3,197",319.7,559,5.72,206,18,"2,344","1,069",-216,37%,60%,3%,303,32
EDM,10,"3,926",392.6,559,7.02,240,19,"2,644","1,431",-149,43%,54%,3%,274,26
HAM,9,"3,379",375.4,491,6.88,211,12,"2,449","1,138",-208,43%,55%,2%,243,25
MTL,9,"2,845",316.1,480,5.93,171,11,"2,056",948,-159,36%,62%,2%,280,18
OTT,10,"3,778",377.8,543,6.96,187,6,"3,267",694,-183,34%,64%,1%,324,26
SSK,10,"3,230",323.0,530,6.09,216,8,"2,454",950,-174,41%,58%,2%,282,24
TOR,8,"2,805",350.6,464,6.05,157,2,"2,371",640,-206,34%,66%,0%,276,29
WPG,10,"3,044",304.4,512,5.95,167,6,"2,296",961,-213,33%,66%,1%,310,29
CFL,43,"29,079",676.3,"4,653",6.25,"1,719",83,"22,202","8,607","-1,730",37%,61%,2%,"2,615",236
