Team,C2,FG,Sgl,S/T,Oppt_TDs_PR,Oppt_TDs_KOR,Oppt_TDs_FGM,TD,C1,Oppt_TDs_Rush,Oppt_TDs_Pass,Oppt_TDs_Int,Oppt_TDs_FR,Oppt_points_Q1,Oppt_points_Q2,Oppt_points_Q3,Oppt_points_Q4,Oppt_points_OT
BC,0,35,4,0,1,1,0,29,25,11,13,3,0,57,105,78,68,0
CGY,3,33,9,0,4,0,0,39,30,11,21,3,0,83,102,74,105,14
EDM,3,40,8,1,0,0,0,39,32,16,21,2,0,75,101,126,100,0
HAM,1,29,4,2,1,0,0,41,35,18,20,2,0,98,99,70,111,0
MTL,0,36,4,0,0,0,0,32,29,16,15,0,1,81,93,75,84,0
OTT,2,30,7,0,2,0,1,42,26,12,26,0,1,69,106,93,102,9
SSK,2,36,8,1,2,0,0,44,39,16,23,1,2,68,132,78,138,9
TOR,3,20,2,0,0,0,0,31,24,4,24,2,1,44,86,54,94,0
WPG,5,31,8,0,0,0,0,27,19,11,9,4,3,75,70,70,63,14
CFL,19,290,54,4,10,1,1,324,259,115,172,17,8,650,894,718,865,46
