Team,,OPP_Tot,Diff Rnk,Total,Per_Game,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,,30,+1 5,31,2.21,5,19,3,1,3,5,18,3,4,0
CGY,,41,-5 6,36,2.57,4,25,4,2,1,13,17,6,2,3
EDM,,41,+5 4,46,3.07,16,23,2,4,1,9,24,6,2,0
HAM,,44,-9 7,35,2.50,6,16,2,8,3,11,28,2,2,1
MTL,,33,+8 3,41,2.93,7,26,4,3,1,11,19,2,0,1
OTT,,48,-20 9,28,2.00,12,11,5,0,0,6,34,5,0,3
SSK,,46,-13 8,33,2.36,4,21,4,3,1,10,27,5,2,2
TOR,,32,+13 2,45,3.46,10,25,9,1,0,0,18,4,9,1
WPG,,33,+20 1,53,3.79,10,36,2,3,2,9,17,2,4,1
CFL,,348,0,348,5.52,74,202,35,25,12,74,202,35,25,12
2022,,,,377,4.65,84,225,28,28,12,,,,,
2021,,,,277,3.42,62,170,21,12,12,,,,,
2019,,,,387,4.78,87,219,42,26,13,,,,,
2018,,,,435,5.37,101,264,33,26,11,,,,,
2017,,,,445,5.49,83,275,45,29,13,,,,,
