Team,PA,Avg,Avg,Diff,,PER GAME,Offensive_points_Team,Offensive_points_Avg,Offensive_points_Avg,Offensive_points_Oppt,Offensive_points_Avg,Offensive_points_Avg,GP,PF,Avg,Avg
BC,308,22.0,27.6,+5.6,,CFL-Wide: 5.14,368,26.3,19.8,277,26.3,19.8,14,387,22.0,27.6
CGY,378,27.0,22.6,-4.4,,Offence 4.56,305,21.8,23.9,335,21.8,23.9,14,317,27.0,22.6
EDM,402,26.8,20.6,-6.2,,Return 0.59,288,19.2,25.8,387,19.2,25.8,15,309,26.8,20.6
HAM,378,27.0,21.3,-5.7,,- Kick 0.19,274,19.6,25.4,356,19.6,25.4,14,298,27.0,21.3
MTL,333,23.8,23.1,-0.6,,- Defence 0.40,288,20.6,23.4,327,20.6,23.4,14,324,23.8,23.1
OTT,379,27.1,24.9,-2.2,,,312,22.3,25.3,354,22.3,25.3,14,348,27.1,24.9
SSK,425,30.4,21.6,-8.7,,,284,20.3,28.0,392,20.3,28.0,14,303,30.4,21.6
TOR,278,21.4,33.8,+12.4,,,387,29.8,20.0,260,29.8,20.0,13,439,21.4,33.8
WPG,292,20.9,32.0,+11.1,,,431,30.8,17.8,249,30.8,17.8,14,448,20.9,32.0
CFL,"3,173",50.4,50.4,,,,"2,937",46.6,46.6,"2,937",46.6,46.6,63,"3,173",50.4,50.4
