Team,Punt_returns_TD,Punt_returns_30+,Punt_returns_10+,Kickoff_returns_40+,Rk,30,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,0,3,,1,4,3,7,72,815,11.3,68,46,"1,005",21.8,62,0,5,214,120,1,0,0,1,1
CGY,0,4,,2,T5,1,7,67,814,12.1,54,55,"1,154",21.0,47,0,3,135,86,0,0,0,0,0
EDM,0,2,,4,T5,1,7,65,656,10.1,52,57,"1,195",21.0,72,0,4,80,30,0,0,0,0,0
HAM,0,2,,8,1,3,13,52,512,9.8,39,60,"1,421",23.7,71,1,4,215,79,0,0,1,0,1
MTL,1,4,,3,2,1,8,58,545,9.4,77,55,"1,258",22.9,79,0,4,96,60,0,1,0,0,1
OTT,1,5,,0,8,0,5,68,730,10.7,79,57,"1,132",19.9,39,0,0,0,0,0,1,0,0,1
SSK,3,4,,3,3,1,8,74,869,11.7,107,64,"1,447",22.6,82,0,2,88,59,0,3,0,0,3
TOR,4,9,,1,9,0,10,73,"1,032",14.1,91,41,746,18.2,41,0,3,11,6,0,4,0,0,4
WPG,1,2,,3,7,2,7,66,714,10.8,92,31,627,20.2,43,0,5,215,102,0,1,0,0,1
CFL,10,35,257,25,,12,72,595,"6,687",11.2,107,466,"9,985",21.4,82,1,30,"1,054",120,1,10,1,1,12
