Team,Penalties_punt,Penalties_K/O,Total,Per_game
BC,18,3,21,1.50
CGY,11,6,17,1.21
EDM,9,7,16,1.07
HAM,16,3,19,1.36
MTL,17,8,25,1.79
OTT,6,3,9,0.64
SSK,4,6,10,0.71
TOR,8,1,9,0.69
WPG,11,0,11,0.79
CFL,100,37,137,2.17
