Team,GIVEAWAYS:_Dns,T/Os,Opp_Pts,OFF1 Ret2,TAKEAWAYS:_Dns,Ratio,GIVEAWAYS:_Fum,GIVEAWAYS:_Int,TAKEAWAYS:_Fum,TAKEAWAYS:_Int,Opp_team_T/O,Team_pts
BC,8,36,120,32 (3),9,-10,9,19,6,11,26,62
CGY,6,27,72,25 (2),7,-1,5,16,8,11,26,51
EDM,10,33,75,32 (1),6,-10,6,17,5,12,23,35
HAM,10,36,98,35 (1),7,-1,8,18,11,17,35,76
MTL,5,31,83,29 (2),8,+1,12,14,6,18,32,77
OTT,9,31,48,29 (2),6,+8,9,13,12,21,39,125
SSK,11,34,90,33 (1),4,-11,11,12,6,13,23,42
TOR,5,19,40,17 (2),10,+18,2,12,8,19,37,125
WPG,6,28,72,27 (1),13,+6,9,13,9,12,34,105
CFL,70,275,698,259 (15),70,2023,71,134,71,134,275,698
