Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,106.9,19,113.8,248,205,82.7,"1,817",0,4,110,65,59.1,"1,074",12,5,61.7,119,49,41.2,"1,392",7
CGY,83.9,7,107.5,326,237,72.7,"1,945",6,4,85,44,51.8,685,6,4,65.1,65,26,40.0,964,4
EDM,89.9,10,146.3,252,185,73.4,"1,591",7,9,76,33,43.4,572,5,0,42.2,57,29,50.9,"1,093",5
HAM,90.1,6,65.6,291,222,76.3,"1,946",8,7,96,57,59.4,921,4,2,81.1,82,29,35.4,890,7
MTL,97.8,6,70.2,266,216,81.2,"1,973",5,4,85,45,52.9,813,1,3,92.9,63,24,38.1,870,8
OTT,94.7,3,14.1,263,198,75.3,"1,769",2,4,83,52,62.7,829,4,1,79.8,46,11,23.9,373,7
SSK,90.1,8,67.5,288,222,77.1,"1,667",5,6,105,71,67.6,"1,260",1,4,117.2,86,24,27.9,831,6
TOR,97.5,13,138.0,196,153,78.1,"1,408",3,4,74,44,59.5,836,3,5,104.3,73,35,47.9,"1,241",6
WPG,93.7,17,169.3,213,166,77.9,"1,464",9,10,92,55,59.8,935,2,7,110.6,94,46,48.9,"1,692",2
CFL,93.3,89,103.8,"2,343","1,804",77.0,"15,580",45,52,806,466,57.8,7925,38,31,84.4,685,273,39.9,"9,346",52
