Team,Avg,LG,S,I10,Oppt_returns_TD,Oppt_returns_30+,Rnk,No,Yards,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Net_Avg,Net_Yd,Adjusted_Sgl,Adjusted_Cover,Adjusted_Retn,Adjusted_FP_Yds,Adjusted_Avg
BC,47.0,80,6,4,1,3,7,80,"3,762",60,653,10.9,91,35.9,"2,869",(61),-130,+91,"2,769",34.6
CGY,48.3,77,5,9,4,6,3,93,"4,489",73,860,11.8,94,36.9,"3,429",(63),-115,+128,"3,379",36.3
EDM,45.3,85,6,3,0,6,9,101,"4,576",73,872,11.9,68,34.3,"3,464",(72),-235,+123,"3,280",32.5
HAM,44.6,78,2,5,1,2,6,84,"3,747",66,627,9.5,77,36.2,"3,040",(18),-125,+60,"2,957",35.2
MTL,47.6,67,1,6,0,2,1,76,"3,615",63,614,9.7,48,39.0,"2,961",(9),-57,+38,"2,933",38.6
OTT,48.1,74,4,8,2,5,2,88,"4,232",70,742,10.6,107,37.8,"3,330",(56),-130,+78,"3,222",36.6
SSK,47.8,90,4,6,2,5,8,97,"4,639",77,"1,009",13.1,92,35.8,"3,470",(45),-146,+35,"3,314",34.2
TOR,47.9,75,6,9,0,4,4,80,"3,830",61,674,11.0,52,36.5,"2,916",(81),-60,+48,"2,823",35.3
WPG,46.4,73,2,9,0,2,5,71,"3,296",52,636,12.2,45,36.3,"2,580",(2),-70,+70,"2,578",36.3
CFL,47.0,90,36,59,10,35,,770,"36,186",595,"6,687",11.2,107,36.4,"28,059",(407),-1068,+671,"27,255",35.4
