Team,Int,TD,LG,30+,2D_conversions,TDI,PerG,YAC,YAC,Avg_depth,Yds,SA,Runs,Dropbacks,Att,Com,Complete%,Yards,Effic,IC%,Avg,YAC,YAC
BC,11,13,71,18,70,1.18,235,40.8,"1,343",9.5,"4,166",46,24,510,440,286,65.0,"3,295",86.9,2.5,7.5,40.8,"1,343"
CGY,11,21,76,17,65,1.91,235,43.3,"1,422",9.8,"4,025",35,29,473,409,274,67.0,"3,286",97.3,2.7,8.0,43.3,"1,422"
EDM,12,21,70,24,97,1.75,258,35.1,"1,360",11.1,"4,711",34,22,480,424,289,68.2,"3,876",101.7,2.8,9.1,35.1,"1,360"
HAM,17,20,70,28,77,1.18,275,39.0,"1,501",11.5,"4,541",30,36,461,395,262,66.3,"3,853",96.9,4.3,9.8,39.0,"1,501"
MTL,18,15,68,19,101,0.83,245,34.9,"1,199",10.5,"4,619",25,24,489,440,284,64.5,"3,435",82.7,4.1,7.8,34.9,"1,199"
OTT,21,26,95,34,96,1.24,322,41.0,"1,850",11.1,"4,985",37,31,517,449,303,67.5,"4,514",100.0,4.7,10.1,41.0,"1,850"
SSK,13,23,102,27,65,1.77,250,40.5,"1,418",12.3,"4,649",30,37,446,379,245,64.6,"3,499",100.4,3.4,9.2,40.5,"1,418"
TOR,19,24,84,18,85,1.26,304,43.7,"1,727",9.4,"4,437",47,22,541,472,341,72.2,"3,954",97.4,4.0,8.4,43.7,"1,727"
WPG,13,9,80,17,74,0.69,224,33.1,"1,040",11.3,"4,809",40,37,503,426,259,60.8,"3,139",77.8,3.1,7.4,33.1,"1,040"
CFL,135,172,102,202,730,1.27,521,39.1,12860,10.7,"40,942",324,262,"4,420","3,834","2,543",66.3,"32,851",93.3,3.5,8.6,39.1,12860
