Team,10+,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,,7,60,653,10.9,91,1,3,57,"1,142",20.0,82,1,4,2,42,22,0,0,1,1,0,2
CGY,,11,73,860,11.8,94,4,6,43,926,21.5,42,0,2,5,212,102,0,3,4,0,0,4
EDM,,8,73,872,11.9,68,0,6,47,754,16.0,62,0,2,3,41,29,0,0,0,0,0,0
HAM,,5,66,627,9.5,77,1,2,44,822,18.7,43,0,2,3,47,30,0,1,1,0,0,1
MTL,,3,63,614,9.7,48,0,2,48,"1,039",21.6,37,0,0,4,80,47,0,1,0,0,0,0
OTT,,8,70,742,10.6,107,2,5,47,913,19.4,37,0,0,4,282,120,1,3,2,0,1,3
SSK,,9,77,"1,009",13.1,92,2,5,41,801,19.5,41,0,2,5,205,86,0,2,2,0,0,2
TOR,,14,61,674,11.0,52,0,4,68,"1,801",26.5,79,0,9,1,60,60,0,1,0,0,0,0
WPG,,7,52,636,12.2,45,0,2,71,"1,787",25.2,62,0,4,3,85,67,0,1,0,0,0,0
CFL,257,72,595,"6,687",11.2,107,10,35,466,"9,985",21.4,82,1,25,30,"1,054",120,1,12,10,1,1,12
