Team,LG,S,FG Atts,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,Atts 81,40,37,92.5,20,20,100.0,20,17,85.0,3,1,"1,248",33.7,"1,399",35.0
CGY,53,0,Made 74,48,42,87.5,25,24,96.0,23,18,78.3,7,6,"1,508",35.9,"1,782",37.1
EDM,46,3,% 91%,26,21,80.76923076923077,13,12,92.3,13,9,69.2,1,0,677,32.2,894,34.4
HAM,50,3,,37,31,83.78378378378379,29,28,96.6,8,3,37.5,3,1,917,29.6,"1,197",32.4
MTL,51,2,,44,36,81.81818181818183,24,21,87.5,20,15,75.0,4,3,"1,209",33.6,"1,543",35.1
OTT,54,2,,43,36,83.72093023255815,21,20,95.2,22,16,72.7,11,8,"1,270",35.3,"1,592",37.0
SSK,54,1,,38,32,84.21052631578947,25,24,96.0,13,8,61.5,7,3,977,30.5,"1,263",33.2
TOR,51,1,,27,25,92.59259259259261,19,19,100.0,8,6,75.0,2,1,821,32.8,912,33.8
WPG,53,0,,33,31,93.93939393939394,21,22,104.8,11,9,81.8,4,3,918,30.6,"1,063",32.2
CFL,54,12,,336,291,86.60714285714286,197,190,96.4,138,101,73.2,42,26,"9,545",32.9,"11,645",34.7
