Team,Int,TD,LG,30+,,2D_conversions,,%_YAC,Avg_depth Yds_depth,,SA,Esc_runs,Dropbacks,Att,Com,complete%,Yards,Effic,IC%,Avg,YAC,TDI,Yds_per_game
BC,19,28,78,19,0.0,90,0.0,32.0,"12.5 5,960",0.0,36,31,544,477,319,66.9,"4,283",98.2,4.0,9.0,"1,371",1.47,306
CGY,16,15,95,25,0.0,82,0.0,43.6,"8.9 4,245",0.0,28,15,519,476,307,64.5,"3,594",83.8,3.4,7.6,"1,567",0.94,257
EDM,17,19,102,23,0.0,64,0.0,42.7,"9.7 3,732",0.0,38,57,480,385,247,64.2,"3,256",88.8,4.4,8.5,"1,391",1.12,217
HAM,19,15,75,16,0.0,104,0.0,39.1,"10.4 4,861",0.0,39,27,535,469,308,65.7,"3,757",84.0,4.1,8.0,"1,470",0.79,268
MTL,14,13,69,26,0.0,85,0.0,48.2,"9.8 4,055",0.0,50,32,496,414,285,68.8,"3,656",92.6,3.4,8.8,"1,764",0.93,261
OTT,13,8,55,11,0.0,71,0.0,40.2,"9.6 3,755",0.0,49,57,498,392,261,66.6,"2,971",82.1,3.3,7.6,"1,195",0.62,212
SSK,12,18,64,21,0.0,80,0.0,34.5,"10.8 5,180",0.0,44,23,546,479,317,66.2,"3,758",92.0,2.5,7.8,"1,296",1.50,268
TOR,12,22,76,25,0.0,69,0.0,39.4,"11.9 4,070",0.0,12,17,372,343,232,67.6,"3,485",107.6,3.5,10.2,"1,374",1.83,268
WPG,13,34,71,36,0.0,85,0.0,35.0,"12.7 5,084",0.0,28,8,435,399,267,66.9,"4,091",115.4,3.3,10.3,"1,432",2.62,292
CFL,135,172,102,202,0.0,730,0.0,39.1,"10.7 40,942",0.0,324,267,"4,425","3,834","2,543",66.3,"32,851",93.3,3.5,8.6,12860,1.27,521
