Team,LG,S,Rec,Oppt_returns_TD,Oppt_returns_40+,No,Yards,Avg,Oppt_returns_No,Oppt_returns_Yards,Oppt_returns_Avg,Oppt_returns_LG,Regular_K/Os_No,Regular_K/Os_Yards,Regular_K/Os_Avg,Oppt_start_YdL,Oppt_start_Av_YL,Oppt_start_Rk
BC,79,1,0,1,4,58,"3,549",61.2,57,"1,142",20.0,82,56,"3,520",62.9,"2,045",36.5,3
CGY,82,0,0,0,2,43,"2,835",65.9,43,926,21.5,42,43,"2,835",65.9,"1,499",36.6,5
EDM,100,1,1,0,2,51,"2,929",57.4,47,754,16.0,62,51,"2,929",57.4,"1,904",38.9,8
HAM,79,0,0,0,2,47,"2,741",58.3,44,822,18.7,43,44,"2,699",61.3,"1,855",40.3,9
MTL,80,0,0,0,0,49,"3,246",66.2,48,"1,039",21.6,37,49,"3,246",66.2,"1,703",35.5,1
OTT,77,0,0,0,0,48,"2,933",61.1,47,913,19.4,37,48,"2,933",61.1,"1,808",37.7,6
SSK,95,1,2,0,2,45,"2,689",59.8,41,801,19.5,41,43,"2,667",62.0,"1,576",36.7,4
TOR,100,2,0,0,9,70,"5,064",72.3,68,"1,801",26.5,79,70,"5,064",72.3,"2,423",35.1,2
WPG,90,1,0,0,4,72,"4,787",66.5,71,"1,787",25.2,62,72,"4,787",66.5,"2,702",38.1,7
CFL,100,6,3,1,25,483,"30,773",63.7,466,"9,985",21.4,82,476,"30,680",64.5,"17,515",37.2,
