Team,Yards,Int,TD,LG,30+,2D_conversions,Yds_per_game,Avg_depth,Yds,SA,Esc_runs,Dropbacks,Att,Com,complete%,Effic,IC%,Avg,YAC,TDI
BC,"1,540",8,9,68,6,31,308,12.6,"2,097",10,10,186,166,118,71.1,98.0,4.8,9.3,511,1.13
CGY,"1,230",7,4,56,9,26,246,9.4,"1,606",8,6,185,171,102,59.6,72.5,4.1,7.2,598,0.57
EDM,"1,430",9,7,102,7,27,238,9.9,"1,773",18,11,208,179,110,61.5,78.7,5.0,8.0,635,0.78
HAM,"1,288",7,4,64,9,30,258,12.0,"1,978",11,4,180,165,102,61.8,76.5,4.2,7.8,446,0.57
MTL,"1,401",3,5,69,12,33,280,10.3,"1,521",26,12,186,148,101,68.2,101.2,2.0,9.5,669,1.67
OTT,"1,047",9,1,54,5,30,209,9.5,"1,584",15,15,196,166,100,60.2,58.0,5.4,6.3,422,0.11
SSK,"1,396",4,8,60,8,31,279,10.2,"1,675",20,9,194,165,110,66.7,99.0,2.4,8.5,504,2.00
TOR,"1,102",3,5,59,8,23,276,12.5,"1,264",4,2,107,101,71,70.3,110.3,3.0,10.9,424,1.67
WPG,"1,638",3,11,68,13,36,273,11.6,"2,062",16,4,198,178,120,67.4,110.2,1.7,9.2,655,3.67
CFL,"12,072",53,54,102,77,267,525,10.8,"15,560",128,73,"1,640","1,439",934,64.9,88.3,3.7,8.4,"4,864",1.02
