Team,TOP,Gap,RESULTS Drv TD,Team_Poss,Team_FP_Yds,Team_YdL,Starts_from_opp_end_No,Starts_from_opp_end_TD,Opp_Poss,Opp_FP_Yds,Opp_YdL
BC,31:44,-4.0,ALL DRIVES 648 93,71,"2,440",34.4,8,3,68,"2,611",38.4
CGY,27:35,+1.5,FIRST DOWN?,75,"2,921",38.9,9,3,73,"2,737",37.5
EDM,29:05,+1.6,Min. 1 First Down 421 93,82,"2,970",36.2,8,2,82,"2,839",34.6
HAM,31:29,-0.3,2 & Out (no FD) 227 0,69,"2,594",37.6,12,4,71,"2,691",37.9
MTL,30:00,-1.7,SACKS IMPACT:,68,"2,328",34.2,5,1,69,"2,481",36.0
OTT,30:01,-1.5,No Sack Allowed 531 90,76,"2,799",36.8,6,2,74,"2,836",38.3
SSK,29:27,-1.7,Sack Allowed 117 3,68,"2,462",36.2,8,3,71,"2,688",37.9
TOR,30:33,+8.0,PENALTIES IMPACT:,55,"2,283",41.5,11,5,59,"1,978",33.5
WPG,30:21,-0.6,Defensive Penalty 102 37,84,"3,137",37.3,11,3,81,"3,073",37.9
CFL,,,No Def. Penalty 546 55,648,"23,934",36.9,78,26,648,"23,934",36.9
