Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,8,+4,12,3,6,1,0,2,1,4,1,2,0
CGY,15,-2,13,2,9,0,1,1,2,6,3,1,3
EDM,23,-9,14,3,7,2,2,0,6,12,3,2,0
HAM,17,-3,14,2,9,1,2,0,4,10,1,2,0
MTL,13,+1,14,1,12,1,0,0,3,10,0,0,0
OTT,14,-3,11,4,5,2,0,0,1,13,0,0,0
SSK,14,+1,15,3,8,2,2,0,1,10,1,1,1
TOR,6,+5,11,2,8,1,0,0,0,3,2,1,0
WPG,14,+6,20,2,13,1,3,1,4,9,0,1,0
CFL,124,0,124,22,77,11,10,4,22,77,11,10,4
