Team,0-9_yds_Effic,20+_yds_TD,20+_yds_Effic,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int
BC,114.2,7,107.6,82,74,90.2,646,0,1,38,24,63.2,389,5,1,51.3,46,20,43.5,505,3
CGY,91.8,1,27.5,107,77,72.0,783,1,1,43,20,46.5,299,4,2,46.6,21,5,23.8,148,2
EDM,87.9,3,90.6,111,81,73.0,745,4,4,44,19,43.2,315,2,0,49.0,24,10,41.7,370,3
HAM,78.8,3,82.8,97,72,74.2,565,3,1,30,17,56.7,287,2,0,61.4,38,13,34.2,436,2
MTL,97.7,3,126.0,94,74,78.7,697,1,1,27,15,55.6,281,1,1,88.7,27,12,44.4,423,1
OTT,86.6,0,-52.1,105,77,73.3,609,1,1,44,20,45.5,319,4,0,32.3,17,3,17.6,119,4
SSK,94.4,3,95.5,97,73,75.3,569,2,4,39,26,66.7,437,0,1,112.9,29,11,37.9,390,2
TOR,84.8,4,168.6,56,45,80.4,412,2,0,21,14,66.7,291,1,1,111.4,24,12,50.0,399,0
WPG,105.0,5,132.1,98,80,81.6,700,2,4,44,27,61.4,475,1,2,103.9,36,13,36.1,463,0
CFL,93.3,29,95.2,847,653,77.1,"5,726",16,17,330,182,55.2,3093,20,8,69.9,262,99,37.8,"3,253",17
