Team,C1_Miss,C2_Rsh,Pass,Def,C1_att,C1_md,C1_%,C2_att,C2_md,C2_%
BC,1,0,0,0,14,13,92.9,0,0,
CGY,0,0,1,0,8,8,100.0,2,1,50.0
EDM,1,1,0,0,7,6,85.7,3,1,33.3
HAM,1,0,2,0,6,5,83.3,5,2,40.0
MTL,0,0,0,0,10,10,100.0,0,0,
OTT,0,0,3,0,3,3,100.0,3,3,100.0
SSK,1,0,1,0,10,9,90.0,2,1,50.0
TOR,0,1,0,0,17,17,100.0,1,1,100.0
WPG,1,0,0,0,17,16,94.1,0,0,
CFL,5,2,7,0,92,87,94.6,16,9,56.3
