Team,1-3_yds_%,4-6_yds_%,7+_yds_%,Att,Md,%,1-3_yds_Att,1-3_yds_Md,4-6_yds_Att,4-6_yds_Md,7+_yds_Att,7+_yds_Md,Yds_to_go_Yards,Yds_to_go_Avg
BC,75.0,61.3,34.5,109,54,49.5,20,15,31,19,58,20,819,7.51
CGY,80.8,32.0,28.1,115,47,40.9,26,21,25,8,64,18,818,7.11
EDM,61.5,42.3,38.4,125,55,44.0,26,16,26,11,73,28,943,7.54
HAM,62.5,58.3,32.8,107,46,43.0,16,10,24,14,67,22,832,7.78
MTL,65.0,48.0,35.9,109,48,44.0,20,13,25,12,64,23,825,7.57
OTT,87.5,51.6,31.9,119,53,44.5,16,14,31,16,72,23,843,7.08
SSK,66.7,56.0,38.2,114,54,47.4,21,14,25,14,68,26,880,7.72
TOR,80.0,55.6,43.6,86,48,55.8,20,16,27,15,39,17,656,7.63
WPG,75.0,56.5,39.4,136,70,51.5,24,18,46,26,66,26,934,6.87
CFL,72.5,51.9,35.6,"1,020",475,46.6,189,137,260,135,571,203,"7,550",7.40
