Team,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,3,21,250,11.9,91,1,1,19,404,21.3,43,0,2,1,20,20,0,0,1,0,0,1
CGY,5,27,256,9.5,79,1,1,13,327,25.2,42,0,1,3,184,102,0,3,1,0,0,1
EDM,3,31,363,11.7,44,0,2,12,165,13.8,62,0,1,1,29,29,0,0,0,0,0,0
HAM,2,23,206,9.0,77,1,1,11,206,18.7,43,0,1,0,0,0,0,0,1,0,0,1
MTL,0,21,188,9.0,18,0,0,13,283,21.8,30,0,0,1,27,27,0,0,0,0,0,0
OTT,0,21,129,6.1,26,0,0,10,141,14.1,25,0,0,1,24,24,0,0,0,0,0,0
SSK,2,20,274,13.7,92,1,1,12,224,18.7,41,0,1,2,66,41,0,0,1,0,0,1
TOR,3,14,192,13.7,52,0,2,18,472,26.2,72,0,1,0,0,0,0,0,0,0,0,0
WPG,1,20,198,9.9,20,0,0,22,508,23.1,40,0,1,0,0,0,0,0,0,0,0,0
CFL,19,198,"2,056",10.4,92,4,8,130,"2,730",21.0,72,0,8,9,350,102,0,3,4,0,0,4
