Team,OPP_Tot,Diff,Total,20+_Rush,30+_Pass,Punt_Rets,K/O_Rets,FGM_Rets,Opp_off_20+_Rush,Opp_off_30+_Pass,Opp_kick_Punt_Rets,Opp_kick_K/O_Rets,Opp_kick_FGM_Ret
BC,8,+4,12,3,6,1,0,2,1,4,1,2,0
CGY,11,-2,9,2,6,0,1,0,1,5,1,1,3
EDM,16,-6,10,2,5,2,1,0,4,9,2,1,0
HAM,13,-6,7,0,6,0,1,0,3,8,1,1,0
MTL,9,+5,14,1,12,1,0,0,2,7,0,0,0
OTT,10,-1,9,3,4,2,0,0,1,9,0,0,0
SSK,10,+1,11,2,7,0,2,0,1,7,1,1,0
TOR,6,+1,7,1,5,1,0,0,0,3,2,1,0
WPG,12,+4,16,2,9,1,3,1,3,8,0,1,0
CFL,95,0,95,16,60,8,8,3,16,60,8,8,3
