Team,GP,Yards,yds_per_game,Rank,Off_plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,5,"1,921",384.2,1,282,6.81,98,8,"1,540",472,-91,35%,62%,3%,166,10
CGY,4,"1,300",325.0,5,223,5.83,79,3,915,431,-46,35%,63%,1%,134,7
EDM,5,"1,321",264.2,9,243,5.44,88,1,"1,052",377,-108,36%,63%,0%,138,16
HAM,4,"1,253",313.3,7,222,5.64,67,2,"1,057",278,-82,30%,69%,1%,144,9
MTL,4,"1,266",316.5,6,208,6.09,68,6,"1,120",315,-169,33%,64%,3%,112,22
OTT,4,"1,134",283.5,8,217,5.23,77,7,786,440,-92,35%,61%,3%,124,9
SSK,4,"1,529",382.3,2,231,6.62,80,4,"1,159",422,-52,35%,64%,2%,134,13
TOR,3,"1,127",375.7,3,164,6.87,83,1,751,410,-34,51%,49%,1%,76,4
WPG,5,"1,766",353.2,4,293,6.03,123,11,"1,269",628,-131,42%,54%,4%,146,13
CFL,19,"12,617",664.1,,"2,083",6.06,763,43,"9,649","3,773",-805,37%,61%,2%,"1,174",103
