Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,13,12,92.30769230769232,5,5,100.0,8,7,87.5,2,1,446,37.2,498,38.3
CGY,53,0,16,13,81.25,8,7,87.5,8,6,75.0,4,4,489,37.6,620,38.8
EDM,45,1,8,6,75.0,4,3,75.0,4,3,75.0,0,0,187,31.2,265,33.1
HAM,50,0,13,13,100.0,11,11,100.0,2,2,100.0,1,1,388,29.8,388,29.8
MTL,51,0,14,12,85.71428571428571,6,6,100.0,8,6,75.0,1,1,435,36.3,522,37.3
OTT,50,0,16,15,93.75,9,9,100.0,7,6,85.7,1,1,480,32.0,525,32.8
SSK,46,1,14,10,71.42857142857143,10,9,90.0,4,1,25.0,3,0,247,24.7,437,31.2
TOR,47,1,9,8,88.88888888888889,5,5,100.0,4,3,75.0,1,0,270,33.8,313,34.8
WPG,52,0,13,13,100.0,8,8,100.0,5,5,100.0,2,2,437,33.6,437,33.6
CFL,53,3,116,102,87.93103448275862,66,63,95.5,50,39,78.0,15,10,"3,379",33.1,"4,005",34.5
