Team,Opp_Fail,Att,Md,Fail,Opp_Att,Opp_Md
BC,2,7,7,0,6,4
CGY,2,5,4,1,8,6
EDM,1,9,7,2,6,5
HAM,1,8,6,2,8,7
MTL,1,5,4,1,5,4
OTT,2,4,4,0,5,3
SSK,1,10,7,3,6,5
TOR,1,5,2,3,9,8
WPG,2,9,8,1,9,7
