20+_yds_Effic,Team,0-9_yds_Att,0-9_yds_Com,0-9_yds_%,0-9_yds_Yds,0-9_yds_Int,0-9_yds_TD,0-9_yds_Effic,10-19_yds_Att,10-19_yds_Com,10-19_yds_%,10-19_yds_Yds,10-19_yds_Int,10-19_yds_TD,10-19_yds_Effic,20+_yds_Att,20+_yds_Com,20+_yds_%,20+_yds_Yds,20+_yds_Int,20+-yds_TD
23.8,BC,110,80,72.7,608,1,0,81.9,27,16,59.3,275,0,2,118.6,24,4,16.7,145,1,0
109.8,CGY,106,89,84.0,726,1,2,102.9,29,16,55.2,271,3,1,55.4,28,6,21.4,284,0,4
90.1,EDM,85,61,71.8,489,2,3,87.8,42,26,61.9,507,1,0,94.0,35,16,45.7,479,3,3
117.2,HAM,77,60,77.9,631,2,4,107.7,49,29,59.2,494,2,0,76.4,24,10,41.7,323,1,3
135.7,MTL,95,71,74.7,563,2,0,80.3,27,12,44.4,196,2,0,38.5,35,18,51.4,582,3,6
70.5,OTT,83,70,84.3,815,1,3,120.3,37,16,43.2,289,3,0,36.9,24,10,41.7,314,2,1
75.5,SSK,93,69,74.2,684,2,1,89.2,41,21,51.2,340,3,3,73.2,24,8,33.3,303,2,2
91.7,TOR,85,72,84.7,599,2,2,100.1,23,16,69.6,256,4,1,48.5,34,14,41.2,391,5,7
116.3,WPG,113,81,71.7,611,3,2,79.2,55,30,54.5,465,2,1,73.7,34,13,38.2,432,0,3
95.2,CFL,847,653,77.1,"5,726",16,17,93.3,330,182,55.2,3093,20,8,69.9,262,99,37.8,"3,253",17,29
