Team,GP,Yards,Per G,Rank,Plays,yds_per_play,Rush_plays,TLs*,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,5,"1,921",384.2,2,282,6.81,98,8,"1,540",472,-91,35%,62%,3%,166,10
CGY,5,"1,660",332.0,5,277,5.99,95,3,"1,230",485,-55,34%,65%,1%,171,8
EDM,6,"1,794",299.0,9,305,5.88,107,1,"1,430",484,-120,35%,65%,0%,179,18
HAM,5,"1,622",324.4,6,266,6.10,86,4,"1,288",429,-95,32%,66%,2%,165,11
MTL,5,"1,610",322.0,7,270,5.96,90,6,"1,401",403,-194,33%,64%,2%,148,26
OTT,5,"1,502",300.4,8,286,5.25,97,8,"1,047",590,-135,34%,63%,3%,166,15
SSK,5,"1,835",367.0,3,288,6.37,99,4,"1,396",534,-95,34%,64%,1%,165,20
TOR,4,"1,604",401.0,1,212,7.57,106,1,"1,102",536,-34,50%,50%,0%,101,4
WPG,6,"2,138",356.3,4,342,6.25,137,11,"1,638",654,-154,40%,57%,3%,178,16
CFL,23,"15,686",682.0,,"2,528",6.20,915,46,"12,072","4,587",-973,36%,62%,2%,"1,439",128
