Team,LG,S,FGA,Md,%,<40_yds_FGA,<40_yds_Md,<40_yds_%,40+_yds_FGA,40+_yds_Md,40+_yds_%,50+_yds_FGA,50+_yds_Md,FG_made_Yards,FG_made_Avg,FG_att_Yards,FG_att_Avg
BC,51,0,7,6,85.71428571428571,1,1,100.0,6,5,83.3,2,1,247,41.2,299,42.7
CGY,52,0,6,4,66.66666666666666,4,3,75.0,2,1,50.0,1,1,127,31.8,211,35.2
EDM,43,0,2,2,100.0,1,1,100.0,1,1,100.0,0,0,60,30.0,60,30.0
HAM,31,0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,31,31.0,31,31.0
MTL,48,0,4,4,100.0,1,1,100.0,3,3,100.0,0,0,171,42.8,171,42.8
OTT,42,0,7,6,85.71428571428571,4,4,100.0,3,2,66.7,0,0,172,28.7,217,31.0
SSK,46,2,7,5,71.42857142857143,5,4,80.0,2,1,50.0,1,0,119,23.8,203,29.0
TOR,27,0,1,1,100.0,1,1,100.0,0,0,0.0,0,0,27,27.0,27,27.0
WPG,50,0,5,5,100.0,4,4,100.0,1,1,100.0,1,1,155,31.0,155,31.0
CFL,52,2,40,34,85.0,22,20,90.9,18,14,77.8,5,3,"1,109",32.6,"1,374",34.4
