Team,Att,Md,%,1-3_yds_Att,1-3_yds_Md,1-3_yds_%,4-6_yds_Att,4-6_yds_Md,4-6_yds_%,7+_yds_Att,7+_yds_Md,7+_yds_%,Yds_to_go_Yards,Yds_to_go_Avg
BC,40,16,40.0,8,5,62.5,11,5,45.5,21,6,28.6,309,7.73
CGY,43,20,46.5,9,7,77.8,16,8,50.0,18,5,27.8,271,6.30
EDM,52,27,51.9,11,7,63.6,15,9,60.0,26,11,42.3,345,6.63
HAM,42,22,52.4,7,5,71.4,11,7,63.6,24,10,41.7,317,7.55
MTL,22,7,31.8,3,2,66.7,2,1,50.0,17,4,23.5,173,7.86
OTT,46,20,43.5,8,7,87.5,10,3,30.0,28,10,35.7,360,7.83
SSK,41,20,48.8,9,5,55.6,10,7,70.0,22,8,36.4,296,7.22
TOR,22,8,36.4,2,1,50.0,6,3,50.0,14,4,28.6,166,7.55
WPG,40,19,47.5,8,6,75.0,8,6,75.0,24,7,29.2,301,7.53
CFL,348,159,45.7,65,45,69.2,89,49,55.1,194,65,33.5,"2,538",7.29
