Team,FGM,T/O,Punt,Oth,Poss,TD,FG,Own_1-20_Drv,Own_1-20_TD,Own_21-40_Drv,Own_21-40_TD,Own_41-54_Drv,Own_41-54_TD,Opp_55-41_Drv,Opp_55-41_TD,Opp_40-21_Drv,Opp_40-21_TD,Opp_20-1_Drv,Opp_20-1_TD,2-&-Outs_2&O,2-&-Outs_%
BC,1,2,10,3,26,4,6,11,2,12,1,2,1,1,0,0,0,0,0,6,23%
CGY,2,2,17,2,30,3,4,5,0,16,2,6,0,1,0,1,1,1,0,10,33%
EDM,0,4,19,1,27,1,2,3,1,17,0,6,0,0,0,1,0,0,0,11,41%
HAM,0,6,15,3,29,4,1,5,0,14,2,5,0,3,1,1,0,1,1,13,45%
MTL,0,1,8,1,15,1,4,1,0,7,0,5,1,1,0,0,0,1,0,3,20%
OTT,1,9,14,1,31,0,6,7,0,16,0,5,0,0,0,2,0,1,0,19,61%
SSK,2,5,10,0,26,4,5,4,0,14,2,4,0,2,1,2,1,0,0,10,38%
TOR,0,0,8,0,13,4,1,5,1,4,2,1,0,0,0,3,1,0,0,6,46%
WPG,0,4,6,3,27,9,5,1,0,15,6,8,2,1,0,2,1,0,0,7,26%
CFL,6,33,107,14,224,30,34,42,4,115,15,42,4,9,2,12,4,4,1,85,38%
