Team,1st_downs_made_Pen,1st_downs_made_Total,1st_downs_made_Rush,1st_downs_made_Pass,Opp_1st_downs_made_Total,Opp_1st_downs_made_Rush,Opp_1st_downs_made_Pass,Opp_1st_downs_made_Pen
BC,2,50,17,31,26,9,14,3
CGY,1,35,13,21,40,15,23,2
EDM,3,22,7,12,42,13,26,3
HAM,1,33,11,21,47,17,25,5
MTL,1,14,4,9,15,2,11,2
OTT,3,28,6,19,33,12,20,1
SSK,2,42,13,27,37,12,22,3
TOR,3,21,10,8,20,5,15,0
WPG,4,51,16,31,36,12,23,1
CFL,20,296,97,179,296,97,179,20
