Team,Long_gain_returns,Punt_returns_No,Punt_returns_Yds,Punt_returns_Avg,Punt_returns_LG,Punt_returns_TD,Punt_returns_30+,Kickoff_returns_No,Kickoff_returns_Yds,Kickoff_returns_Avg,Kickoff_returns_LG,Kickoff_returns_TD,Kickoff_returns_40+,FG_miss_returns_No,FG_miss_returns_Yds,FG_miss_returns_LG,FG_miss_returns_TD,FG_miss_returns_30,TDs_PR,TDs_KOR,TDs_FGM,TDs_Tot
BC,1,7,65,9.3,19,0,0,6,147,24.5,43,0,1,1,20,20,0,0,0,0,0,0
CGY,3,16,157,9.8,79,1,1,7,183,26.1,31,0,0,2,82,48,0,2,1,0,0,1
EDM,2,14,159,11.4,44,0,1,3,98,32.7,62,0,1,0,0,0,0,0,0,0,0,0
HAM,1,13,100,7.7,16,0,0,5,106,21.2,43,0,1,0,0,0,0,0,0,0,0,0
MTL,0,7,51,7.3,14,0,0,3,64,21.3,30,0,0,0,0,0,0,0,0,0,0,0
OTT,0,11,58,5.3,23,0,0,5,65,13.0,25,0,0,1,24,24,0,0,0,0,0,0
SSK,2,9,170,18.9,92,1,1,6,121,20.2,41,0,1,0,0,0,0,0,1,0,0,1
TOR,0,5,30,6.0,11,0,0,6,151,25.2,38,0,0,0,0,0,0,0,0,0,0,0
WPG,1,5,48,9.6,17,0,0,13,303,23.3,40,0,1,0,0,0,0,0,0,0,0,0
CFL,10,87,838,9.6,92,2,3,54,"1,238",22.9,62,0,5,4,126,48,0,2,2,0,0,2
