TEAM,Opp_RZ_Pts,Att,TD,%,FG,T/O,Oth,Pts,%,Opp_Att1,Opp_TD,Opp_%,Opp_(No_TD)_FG,Opp_(No_TD)_T/O,Opp_(No_TD)_Oth
BC,9 64%,5,3,60.0,1,0,1,24,69%,2,1,50.0,1,0,0
CGY,20 57%,5,3,60.0,2,0,0,27,77%,5,2,40.0,2,1,0
EDM,23 55%,2,0,0.0,1,1,0,3,21%,6,2,33.3,3,0,1
HAM,58 75%,5,4,80.0,0,1,0,29,83%,11,7,63.6,2,1,1
MTL,6 43%,2,1,50.0,1,0,0,10,71%,2,0,0.0,2,0,0
OTT,28 80%,5,0,0.0,4,1,0,12,34%,5,3,60.0,2,0,0
SSK,38 78%,7,4,57.1,3,0,0,37,76%,7,5,71.4,1,1,0
TOR,14 67%,5,4,80.0,1,0,0,31,89%,3,2,66.7,0,1,0
WPG,39 93%,11,8,72.7,1,1,1,62,81%,6,5,83.3,1,0,0
CFL,235 71%,47,27,57.4,14,4,2,235,71%,47,27,57.4,14,4,2
