Team,GP,Yards,yds_per_game,Off_plays,yds_per_play,Rush_plays,Oth_TLs_Plays,Pass_yds,Rush_yds,TLs_yds,Rush%,Ps%,Oth%,Pass_plays,Sa_Plays
BC,2,400,200.0,87,4.60,25,0,268,149,-17,29%,71%,0%,58,4
CGY,2,684,342.0,113,6.05,33,4,538,165,-19,29%,67%,4%,74,2
EDM,2,736,368.0,123,5.98,48,3,503,254,-21,39%,59%,2%,69,3
HAM,2,812,406.0,111,7.32,53,3,592,255,-35,48%,50%,3%,53,2
MTL,1,220,220.0,53,4.15,16,1,177,54,-11,30%,68%,2%,35,1
OTT,2,691,345.5,111,6.23,45,5,593,174,-76,41%,55%,5%,53,8
SSK,2,646,323.0,105,6.15,40,3,495,189,-38,38%,59%,3%,56,6
TOR,1,335,335.0,60,5.58,20,0,279,70,-14,33%,67%,0%,38,2
WPG,2,679,339.5,105,6.47,24,1,613,114,-48,23%,76%,1%,74,6
CFL,8,"5,203",650.4,868,5.99,304,20,"4,058","1,424",-279,35%,63%,2%,510,34
