Team,Penalties_total,Illegal_pnt,Illegal_K/O,Penalties_punt,Penalties_K/O
BC,4,1,0,4,0
CGY,2,0,0,0,2
EDM,4,0,0,4,0
HAM,6,1,1,3,3
MTL,0,0,0,0,0
OTT,2,0,1,1,1
SSK,2,0,0,2,0
TOR,1,0,0,1,0
WPG,1,0,0,1,0
CFL,22,2,2,16,6
